#NAME?,,,,,,,,,,,,,,,,,,,
Year,Agr,Mine,Manu,Elec,Cons,Whol,Reta,Acco,Tran,Info,Fina,Rent,Prof,Admi,Publ,Educ,Heal,Arts ,Other
2000,85497,393,21123,813,41610,17115,25209,13446,13602,2877,10833,51615,34038,10446,1029,6381,12750,7974,18111
2001,85056,378,20850,825,40356,16590,24099,13446,12915,3069,11202,52275,34083,10179,1014,6414,12759,7896,17865
2002,85020,390,20823,816,39507,16536,23718,14049,12816,3207,11817,55029,34515,10341,1017,6546,12879,7944,17949
2003,81687,384,21354,834,40875,16857,24156,14853,13059,3522,12414,63360,36300,11085,1077,6774,13254,8085,18462
2004,81267,405,22170,876,44790,17445,25689,16041,14139,4020,17301,74787,40284,12441,1149,7056,14091,8574,19398
2005,80400,423,22365,903,48132,17814,26280,16719,14682,4383,19587,80379,43116,13236,1182,7149,14658,8778,20082
2006,79416,486,22518,924,50985,18036,26616,16995,14892,4437,22011,86649,45336,14367,1179,7152,15207,9048,20415
2007,78033,498,22461,972,52473,17892,26628,17103,14802,4431,24408,91737,47217,14493,1164,7161,15717,9276,20583
2008,74898,507,22284,993,54375,17844,26778,17565,15126,4473,26973,96621,48996,14856,1191,7416,16227,9495,20904
2009,74055,531,21984,1014,53676,17625,26580,17841,15189,4749,29013,97107,50175,15201,1239,7569,16980,9693,21141
2010,72654,567,21396,1014,50919,17124,26202,18039,14649,4887,29976,96750,48996,14919,1242,7614,17127,9567,21189
2011,71475,615,21054,1023,50136,17079,26223,18300,14475,4872,30402,97248,49986,15066,1233,7737,16983,9483,21276
2012,70707,648,20751,1017,49683,16959,26016,18327,14415,4956,29802,97953,50529,15294,1230,7809,17007,9486,21336
2013,68658,666,20667,1041,50214,16902,26304,18546,14397,4983,29655,100512,51285,15861,1215,7881,17211,9528,21462
2014,68946,741,20862,1092,52332,17172,26976,19254,14805,5061,33360,105999,53190,16299,1245,7986,17649,9627,22041
2015,69927,759,21249,1101,54615,17574,27609,19806,15372,5013,35103,106188,55800,16692,1233,8103,18279,9789,22689
2016,69294,720,21357,1125,56631,17709,27786,20532,15876,5295,35856,107826,56778,16950,1227,8253,18828,9864,23127
